# grb_name    s2n    total_cnts
01540    49.583221435546875    32449.716796875
01541    733.6006469726562    679855.5
01546    29.21448516845703    4426.26025390625
01552    20.785070419311523    23822.12890625
01559    70.49248504638672    36187.7109375
01561    43.31303024291992    78372.9140625
01567    47.28098678588867    16517.66015625
01574    51.2812385559082    49394.328125
01578    208.66778564453125    98240.1953125
01579    87.2220687866211    37865.671875
01580    56.87164306640625    18635.091796875
01586    76.66958618164062    67884.5625
01590    74.68869018554688    55155.765625
01601    104.41161346435547    53427.109375
01606    527.523681640625    623774.875
01609    447.6286315917969    215445.4375
01614    52.79301834106445    48273.2578125
01623    153.12362670898438    115245.4609375
01625    582.9400024414062    433943.5625
01626    35.91095733642578    5342.68017578125
01628    99.26421356201172    58461.671875
01642    45.411380767822266    32066.599609375
01646    25.521102905273438    28553.3515625
01651    86.607177734375    20624.349609375
01652    314.1658630371094    244904.921875
01653    38.7535285949707    29814.7421875
01655    31.630775451660156    68848.5078125
01656    61.042301177978516    76203.125
01660    57.56060028076172    41795.8984375
01661    25.612428665161133    39715.08984375
01663    725.4116821289062    694857.125
01664    178.47476196289062    46226.47265625
01676    380.8229064941406    342330.875
01683    176.72164916992188    47365.53125
01687    22.321056365966797    38661.09765625
01700    46.630332946777344    10649.6201171875
01701    27.893964767456055    3807.0
01709    266.8221130371094    97767.4765625
01711    307.38323974609375    148888.015625
01712    218.8213348388672    286510.21875
01717    121.02909088134766    37117.07421875
01730    26.442127227783203    46089.4296875
01731    103.30270385742188    41663.234375
01733    141.7579803466797    62518.5546875
01734    50.33463668823242    14355.4697265625
01740    20.564701080322266    39815.1015625
01742    48.91631317138672    37609.16796875
01806    19.88949203491211    20762.740234375
01815    144.9441680908203    72468.140625
01819    52.295894622802734    11792.9296875
01830    21.133953094482422    25051.109375
01883    170.15992736816406    54125.671875
01885    67.63220977783203    43357.9921875
01886    425.526611328125    256612.734375
01922    69.60680389404297    15796.8603515625
01924    54.735107421875    17090.71875
01953    24.081336975097656    1784.8299560546875
01956    137.48072814941406    46404.109375
01967    107.32620239257812    53445.1015625
01974    274.3976745605469    126466.90625
01982    138.1184539794922    85267.84375
01989    252.02769470214844    428806.5
01993    74.40130615234375    56174.65625
01997    198.51612854003906    251381.34375
02018    95.78926086425781    39408.0390625
02019    93.65547943115234    47488.2578125
02035    19.623655319213867    2849.259765625
02037    94.86180877685547    27667.02734375
02041    47.126956939697266    7289.36962890625
02047    40.68912887573242    19042.3515625
02053    59.726707458496094    9135.8798828125
02061    232.11019897460938    286828.875
02067    638.7537231445312    491080.96875
02070    31.977773666381836    15110.5703125
02074    112.88326263427734    132251.765625
02077    66.2896728515625    61925.21484375
02079    15.851632118225098    18003.33984375
02080    286.6053466796875    244854.28125
02081    15.351391792297363    26793.5
02083    609.6519165039062    439094.75
02087    60.58619689941406    11627.978515625
02090    266.013427734375    123972.3828125
02093    55.65519714355469    32691.21875
02102    74.45903778076172    21134.5390625
02106    110.63668060302734    52268.9296875
02110    243.82058715820312    125574.28125
02111    96.107421875    56742.0703125
02112    29.01626205444336    40927.015625
02122    176.02552795410156    134819.90625
02123    163.64144897460938    76717.0390625
02138    506.4364929199219    431838.25
02140    39.513797760009766    21739.541015625
02148    34.893280029296875    25400.62890625
02149    205.9183349609375    197072.375
02151    340.7660827636719    139155.203125
